epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96043,2.173,10.7052,0.70812,3.42664,2.17512,0.00277,0.83333,0.00406,0.00121,0,0,0,0,2.03521,10.208,0.72651,4.39851,2.60237,0,0,0
2,16.946,2.26512,10.6459,0.70608,3.5791,2.22244,0.00343,1,0.00466,0.00165,0,0,0,0,2.02649,10.2198,0.72669,4.36342,2.58754,1.58448e-05,1.58448e-05,1.58448e-05
3,24.5849,2.08105,10.4084,0.72451,3.52813,1.95709,0.00339,1,0.00552,0.00201,0,0,0,0,1.96749,10.1516,0.72689,4.2972,2.54258,3.00393e-05,3.00393e-05,3.00393e-05
4,32.1359,1.96615,10.2927,0.70389,3.3009,2.02284,0.00337,1,0.00649,0.0024,0,0,0,0,1.89139,10.1038,0.72701,4.20418,2.47706,4.25835e-05,4.25835e-05,4.25835e-05
5,39.6652,1.8885,10.5692,0.70529,3.28059,1.89708,0.00335,1,0.01722,0.00368,0,0,0,0,1.79791,10.0937,0.7273,4.10525,2.39647,5.34774e-05,5.34774e-05,5.34774e-05
6,47.182,1.77697,10.5442,0.70372,3.03215,1.86228,0.00334,1,0.02563,0.00685,0,0,0,0,1.69278,10.0951,0.72753,3.95608,2.30103,6.27209e-05,6.27209e-05,6.27209e-05
7,54.8048,1.62476,10.5615,0.71732,2.97177,1.82689,0.00333,1,0.03015,0.01099,0,0,0,0,1.58949,10.0956,0.72626,3.81832,2.19573,7.03141e-05,7.03141e-05,7.03141e-05
8,63.3673,1.34701,10.5726,0.70077,2.62792,1.50408,0.00333,1,0.0534,0.01968,0,0,0,0,1.51378,10.1485,0.72458,3.6234,2.08638,7.62569e-05,7.62569e-05,7.62569e-05
9,71.4006,1.4114,10.1891,0.69895,2.51358,1.57525,0.00333,1,0.07246,0.03762,0,0,0,0,1.48538,10.1869,0.72042,3.34606,1.96203,8.05494e-05,8.05494e-05,8.05494e-05
10,79.2583,1.41594,10.2917,0.69753,2.46168,1.61706,0.00334,1,0.09602,0.05716,0,0,0,0,1.44366,10.1947,0.71901,3.23606,1.86942,8.31916e-05,8.31916e-05,8.31916e-05
11,87.6515,1.54349,10.2759,0.72685,3.43495,1.62335,0.04075,1,0.1313,0.08042,0,0,0,0,1.43024,10.1853,0.71756,3.15464,1.78999,8.41835e-05,8.41835e-05,8.41835e-05
12,95.2415,1.25824,9.6074,0.70139,3.14476,1.59871,0.06913,0.66667,0.15793,0.09377,0,0,0,0,1.39583,10.1105,0.71675,3.07059,1.75402,8.3525e-05,8.3525e-05,8.3525e-05
13,103.188,1.06682,9.75344,0.66622,2.51214,1.30246,0.09201,0.66667,0.19595,0.12204,0,0,0,0,1.34439,10.0539,0.71535,3.01308,1.68373,8.12162e-05,8.12162e-05,8.12162e-05
14,111.188,1.00453,9.74021,0.68344,2.40742,1.31323,0.27628,0.5,0.2378,0.15519,0,0,0,0,1.32486,10.0294,0.71338,2.93272,1.60448,7.72571e-05,7.72571e-05,7.72571e-05
15,119.129,1.00232,9.67938,0.65598,2.28228,1.22043,0.28072,0.36108,0.25976,0.17144,0,0,0,0,1.31279,10.002,0.7088,2.86964,1.52539,7.16477e-05,7.16477e-05,7.16477e-05
16,127.182,0.89485,9.19836,0.68139,2.10656,1.24945,0.30681,0.42593,0.27086,0.17654,0,0,0,0,1.25797,9.97675,0.70591,2.89219,1.44887,6.43879e-05,6.43879e-05,6.43879e-05
17,135.368,0.83244,9.21348,0.65105,1.86666,1.2052,0.2281,0.16667,0.35066,0.25617,0,0,0,0,1.23727,9.97712,0.70068,2.82483,1.37715,5.54778e-05,5.54778e-05,5.54778e-05
18,143.644,0.77199,9.26691,0.65744,1.85864,1.18047,0.26301,0.21836,0.35414,0.26523,0,0,0,0,1.15075,9.94251,0.6974,2.76523,1.28288,4.49173e-05,4.49173e-05,4.49173e-05
19,151.443,0.68489,8.78012,0.66877,1.74053,1.10673,0.22818,0.16667,0.37495,0.28303,0,0,0,0,1.08069,9.95017,0.69509,2.68646,1.2297,3.27065e-05,3.27065e-05,3.27065e-05
20,162.364,0.69939,9.16285,0.66031,1.98497,1.19024,0.23562,0.16667,0.41057,0.29326,0,0,0,0,1.01749,9.96141,0.69425,2.62901,1.19362,1.88454e-05,1.88454e-05,1.88454e-05
